scenario_id,level,bn_fault_var,bn_fault_state,bfm_var,bfm_fault_state,belief,plausibility,width,empty_set_mass,rank_by_belief,rank_by_plausibility
15,L4_combined_incompleteness,F_battery,exhausted,Batt,exh,1,1,0,0,1,1
15,L4_combined_incompleteness,F_sw_1,detached,SW1,det,0.03,0.03,0,0,2,3
15,L4_combined_incompleteness,F_sw_2,detached,SW2,det,0.03,0.03,0,0,3,4
15,L4_combined_incompleteness,F_sw_3,detached,SW3,det,0.03,0.03,0,0,4,5
15,L4_combined_incompleteness,F_sw_4,detached,SW4,det,0.03,0.03,0,0,5,6
15,L4_combined_incompleteness,F_sw_5,detached,SW5,det,0.03,0.03,0,0,6,7
15,L4_combined_incompleteness,F_sw_6,detached,SW6,det,0.03,0.03,0,0,7,8
15,L4_combined_incompleteness,F_sw_7,detached,SW7,det,0.03,0.03,0,0,8,9
15,L4_combined_incompleteness,F_sw_8,detached,SW8,det,0.03,0.03,0,0,9,10
15,L4_combined_incompleteness,F_cable_1,broken,C1,bro,0.02,0.02,0,0,10,11
15,L4_combined_incompleteness,F_cable_2,broken,C2,bro,0.02,0.02,0,0,11,12
15,L4_combined_incompleteness,F_cable_3,broken,C3,bro,0.02,0.02,0,0,12,13
15,L4_combined_incompleteness,F_cable_4,broken,C4,bro,0.02,0.02,0,0,13,14
15,L4_combined_incompleteness,F_cable_5,broken,C5,bro,0.02,0.02,0,0,14,15
15,L4_combined_incompleteness,F_cable_6,broken,C6,bro,0.02,0.02,0,0,15,16
15,L4_combined_incompleteness,F_cable_7,broken,C7,bro,0.02,0.02,0,0,16,17
15,L4_combined_incompleteness,F_cable_8,broken,C8,bro,0.02,0.02,0,0,17,18
15,L4_combined_incompleteness,F_cable_load,broken,CL,bro,0.02,0.02,0,0,18,19
15,L4_combined_incompleteness,F_lamp,broken,LF,bro,0.015,0.015,0,0,19,20
15,L4_combined_incompleteness,F_PSU_short,yes,PSF,yes,0,1,1,0,20,2
16,L4_combined_incompleteness,F_lamp,broken,LF,bro,0.015,0.015,0,0.0846,1,18
16,L4_combined_incompleteness,F_sw_3,detached,SW3,det,0,1,1,0.0846,2,1
16,L4_combined_incompleteness,F_sw_4,detached,SW4,det,0,1,1,0.0846,3,2
16,L4_combined_incompleteness,F_sw_5,detached,SW5,det,0,1,1,0.0846,4,3
16,L4_combined_incompleteness,F_sw_6,detached,SW6,det,0,1,1,0.0846,5,4
16,L4_combined_incompleteness,F_sw_7,detached,SW7,det,0,1,1,0.0846,6,5
16,L4_combined_incompleteness,F_sw_8,detached,SW8,det,0,1,1,0.0846,7,6
16,L4_combined_incompleteness,F_cable_3,broken,C3,bro,0,1,1,0.0846,8,7
16,L4_combined_incompleteness,F_cable_4,broken,C4,bro,0,1,1,0.0846,9,8
16,L4_combined_incompleteness,F_cable_5,broken,C5,bro,0,1,1,0.0846,10,9
16,L4_combined_incompleteness,F_cable_6,broken,C6,bro,0,1,1,0.0846,11,10
16,L4_combined_incompleteness,F_cable_7,broken,C7,bro,0,1,1,0.0846,12,11
16,L4_combined_incompleteness,F_cable_8,broken,C8,bro,0,1,1,0.0846,13,12
16,L4_combined_incompleteness,F_cable_load,broken,CL,bro,0,1,1,0.0846,14,13
16,L4_combined_incompleteness,F_sw_2,detached,SW2,det,0,0.2,0.2,0.0846,15,14
16,L4_combined_incompleteness,F_cable_2,broken,C2,bro,0,0.2,0.2,0.0846,16,15
16,L4_combined_incompleteness,F_sw_1,detached,SW1,det,0,0.04,0.04,0.0846,17,16
16,L4_combined_incompleteness,F_cable_1,broken,C1,bro,0,0.04,0.04,0.0846,18,17
16,L4_combined_incompleteness,F_PSU_short,yes,PSF,yes,0,0,0,0.0846,19,19
16,L4_combined_incompleteness,F_battery,exhausted,Batt,exh,0,0,0,0.0846,20,20
